1
  0  0 -0.32078E-02
  1  0 -0.31897E-02
  8  1 -0.54852E-04 -0.58912E-04
  8  2  0.94590E-04 -0.15876E-03
  8  3 -0.83050E-04  0.21461E-06
  8  4 -0.75494E-04  0.34353E-05
  8  5 -0.19517E-05  0.21204E-03
  8  6 -0.11442E-03  0.36313E-04
  8  7 -0.86461E-05  0.23090E-03
  8  8  0.30091E-04  0.29190E-04
  9  0  0.22269E-04
  9  1  0.12292E-04 -0.19327E-04
  9  2 -0.68833E-04 -0.26501E-04
  9  3  0.22394E-04  0.82099E-04
  9  4  0.78483E-04 -0.45996E-04
  9  5  0.58467E-05 -0.87350E-04
  9  6  0.31417E-04 -0.12063E-03
  9  7  0.26022E-04 -0.45644E-04
  9  8 -0.31056E-04 -0.19915E-05
  9  9  0.10695E-03 -0.60808E-04
 10  0  0.64328E-05
 10  1  0.18680E-04  0.96763E-04
 10  2 -0.86849E-04  0.20869E-05
 10  3  0.41337E-04  0.74487E-04
 10  4 -0.13426E-04  0.40457E-04
 10  5 -0.11792E-03 -0.27100E-04
 10  6  0.61820E-04  0.47973E-05
 10  7 -0.66750E-05 -0.33904E-04
 10  8  0.11220E-03  0.75329E-05
 10  9  0.41601E-04 -0.95842E-04
 10 10 -0.42401E-04 -0.15016E-04
 11  0 -0.23847E-04
 11  1  0.24709E-04  0.46454E-04
 11  2 -0.25945E-05  0.32448E-04
 11  3  0.24008E-04  0.71602E-04
 11  4  0.75671E-04  0.96386E-04
 11  5  0.11720E-03 -0.71521E-04
 11  6  0.12241E-03  0.83493E-04
 11  7 -0.59363E-05  0.44036E-04
 11  8 -0.10526E-04 -0.22876E-04
 11  9  0.69273E-04 -0.82531E-04
 11 10  0.49006E-04  0.81265E-04
 11 11 -0.18957E-03  0.52547E-04
 12  0 -0.14726E-04
 12  1  0.86234E-04 -0.15011E-04
 12  2  0.93477E-05 -0.56310E-05
 12  3  0.38875E-04 -0.37236E-04
 12  4  0.30888E-04 -0.93888E-04
 12  5  0.40007E-04  0.18773E-04
 12  6  0.65932E-04  0.99141E-05
 12  7 -0.57818E-04 -0.22811E-04
 12  8  0.24889E-04  0.18978E-04
 12  9  0.16019E-05  0.54728E-04
 12 10 -0.76589E-05 -0.30973E-04
 12 11 -0.24499E-04 -0.81727E-06
 12 12  0.14346E-04 -0.19124E-04

