X Y UC  LC  AVCRUST Topo   Basement UC/LC Moho
12.625  41.625  6.18  6.48  6.34  0.11  0.13  10.21 21.74
12.875  41.625  6.19  6.49  6.36  0.24  0.03  9.66  22.26
13.125  41.625  6.18  6.48  6.36  0.43  -0.18 9.18  23.22
13.375  41.625  6.16  6.5 6.36  0.27  -0.09 9.16  22.38
13.625  41.625  6.12  6.55  6.34  0.40  -0.05 10.74 22.04
13.875  41.625  6.06  6.62  6.33  0.83  -0.09 14.47 28.02
14.125  41.625  6.03  6.67  6.32  0.62  0.44  18.78 33.98
14.375  41.625  6.06  6.69  6.34  0.80  1.03  19.98 35.14
14.625  41.625  6.12  6.7 6.37  0.63  1.60  19.76 33.51
14.875  41.625  6.21  6.7 6.40  0.50  2.13  20.18 31.61
15.125  41.625  6.32  6.66  6.43  0.28  2.61  21.34 30.30
15.375  41.625  6.42  6.59  6.46  0.08  3.05  23.64 29.97
15.625  41.625  6.49  6.48  6.49  0.17  3.44  20.00 29.81
15.875  41.625  6.59  6.37  6.48  0.13  3.74  17.41 31.07
16.125  41.625  6.48  6.39  6.43  -0.13 4.04  17.30 32.24
16.375  41.625  6.11  6.59  6.37  -0.17 3.99  17.17 32.74
16.625  41.625  6.06  6.8 6.35  -0.17 3.94  21.36 32.59
16.875  41.625  6.03  6.94  6.35  -0.21 3.93  22.33 32.31
17.125  41.625  6.02  7 6.34  -0.57 3.92  22.52 31.54
17.375  41.625  6.01  7.02  6.34  -0.94 3.92  22.49 31.50
17.625  41.625  6 7.03  6.34  -1.04 3.93  22.31 31.36
17.875  41.625  5.99  7.04  6.33  -1.16 3.94  22.77 31.78
18.125  41.625  5.99  7.04  6.33  -1.17 3.95  23.74 33.22
18.375  41.625  5.99  7.03  6.34  -1.06 3.97  24.03 34.21
18.625  41.625  5.99  7.02  6.34  -0.64 3.98  24.55 35.14
18.875  41.625  6 7.01  6.34  -0.20 3.99  25.24 36.03
19.125  41.625  6 7 6.34  -0.10 4.00  26.06 37.42
19.375  41.625  6 6.98  6.34  -0.03 4.00  26.29 38.13
19.625  41.625  6 6.97  6.33  0.06  4.00  23.40 33.40
19.875  41.625  6 6.98  6.34  0.56  4.00  23.34 33.61
20.125  41.625  6 7 6.34  0.94  4.00  23.53 33.59
20.375  41.625  6.02  6.97  6.35  0.90  4.00  23.25 33.50
20.625  41.625  6.03  6.93  6.35  1.41  4.00  25.20 36.90
20.875  41.625  6.06  6.86  6.34  1.13  3.28  26.99 39.76
21.125  41.625  6.09  6.82  6.33  0.96  2.50  27.95 40.41
21.375  41.625  6.13  6.82  6.35  1.10  1.62  27.15 39.10
21.625  41.625  6.17  6.83  6.37  0.56  0.75  27.00 38.41
21.875  41.625  6.22  6.84  6.40  0.35  0.10  26.71 37.60
22.125  41.625  6.27  6.85  6.42  0.35  -0.26 27.29 36.90
22.375  41.625  6.3 6.85  6.44  0.63  -0.48 26.81 36.13
22.625  41.625  6.3 6.85  6.45  0.70  -0.48 26.41 36.50
22.875  41.625  6.28  6.85  6.43  1.10  -0.90 27.39 37.50
23.125  41.625  6.28  6.86  6.43  0.63  -0.28 27.69 37.45
23.375  41.625  6.29  6.86  6.45  1.09  -0.77 28.40 39.79
23.625  41.625  6.32  6.86  6.47  1.15  -0.96 30.07 42.00
23.875  41.625  6.34  6.86  6.49  0.94  -0.85 30.77 43.59
24.125  41.625  6.33  6.85  6.48  1.29  -1.29 30.53 43.43
24.375  41.625  6.3 6.84  6.46  1.34  -1.34 30.60 44.05
24.625  41.625  6.26  6.81  6.44  1.36  -1.36 29.24 44.12
24.875  41.625  6.21  6.78  6.40  1.07  -1.06 28.50 43.28
25.125  41.625  6.16  6.75  6.37  0.71  -0.69 26.57 41.63
25.375  41.625  6.12  6.71  6.34  0.41  -0.37 21.81 35.00
25.625  41.625  6.08  6.68  6.32  0.35  -0.30 19.68 33.00
25.875  41.625  6.04  6.66  6.29  0.38  -0.26 18.69 31.50
26.125  41.625  6.02  6.63  6.27  0.20  0.02  17.32 29.34
26.375  41.625  6 6.6 6.26  0.07  0.22  17.27 30.30
26.625  41.625  5.99  6.58  6.25  0.07  0.28  17.59 31.23
26.875  41.625  6 6.57  6.26  0.10  0.42  17.45 31.74
27.125  41.625  6.04  6.57  6.28  0.14  0.69  17.79 31.95
27.375  41.625  6.1 6.6 6.33  0.19  1.11  17.78 31.98
27.625  41.625  6.19  6.64  6.39  0.28  1.80  19.93 34.43
27.875  41.625  6.3 6.69  6.47  0.21  3.25  20.07 33.06
28.125  41.625  6.41  6.74  6.56  0.07  5.05  19.88 32.24
28.375  41.625  6.52  6.8 6.65  -0.10 6.62  19.54 30.73
28.625  41.625  6.61  6.85  6.72  -0.15 7.50  19.36 29.40
28.875  41.625  6.67  6.88  6.77  -0.23 8.12  19.24 29.34
29.125  41.625  6.7 6.9 6.80  -0.68 8.87  19.40 28.87
29.375  41.625  6.7 6.9 6.81  -1.30 9.90  18.63 28.46
29.625  41.625  6.7 6.9 6.79  -1.58 10.52 19.84 28.13
29.875  41.625  6.7 6.9 6.81  -1.71 9.87  18.37 27.93
30.125  41.625  6.7 6.9 6.80  -1.63 8.59  18.24 27.88
30.375  41.625  6.7 6.9 6.81  -1.41 7.13  16.85 27.95
30.625  41.625  6.7 6.9 6.81  -1.58 7.13  16.93 28.12
30.875  41.625  6.7 6.9 6.80  -1.46 6.94  17.65 28.36
31.125  41.625  6.7 6.9 6.80  -1.37 6.69  17.69 28.68
31.375  41.625  6.7 6.9 6.80  -1.30 6.23  17.65 29.07
31.625  41.625  6.64  6.87  6.75  -0.95 5.53  18.07 29.56
31.875  41.625  6.54  6.81  6.66  -0.72 4.40  18.69 30.12
32.125  41.625  6.46  6.77  6.60  -0.23 2.80  18.10 30.70
32.375  41.625  6.37  6.72  6.53  0.22  1.03  17.45 31.27
32.625  41.625  6.27  6.67  6.46  0.59  -0.40 16.50 31.79
32.875  41.625  6.22  6.65  6.43  0.89  -0.76 16.12 32.24
33.125  41.625  6.2 6.64  6.41  0.99  -0.86 16.62 32.58
33.375  41.625  6.14  6.62  6.36  1.12  -0.98 17.31 32.79
33.625  41.625  6.06  6.58  6.30  1.12  -0.98 17.24 32.86
33.875  41.625  6.1 6.6 6.33  1.09  -0.97 17.22 32.71
34.125  41.625  6.15  6.63  6.37  0.93  -0.80 17.12 32.29
34.375  41.625  6.18  6.64  6.39  0.98  -0.87 16.84 31.71
34.625  41.625  6.21  6.66  6.41  0.88  -0.78 16.88 31.00
34.875  41.625  6.25  6.68  6.45  0.90  -0.80 15.78 30.19
35.125  41.625  6.3 6.7 6.49  0.85  -0.75 15.07 29.38
35.375  41.625  6.33  6.72  6.51  0.50  -0.18 15.33 28.63
-24.875 41.875  5.48  6.75  6.30  -3.39 4.10  8.02  15.15
-24.625 41.875  5.49  6.75  6.30  -3.63 4.18  8.11  15.18
-24.375 41.875  5.49  6.75  6.30  -3.83 4.24  8.16  15.21
-24.125 41.875  5.49  6.76  6.30  -3.77 4.27  8.24  15.23
-23.875 41.875  5.49  6.75  6.30  -3.71 4.25  8.18  15.24
-23.625 41.875  5.49  6.75  6.30  -3.48 4.24  8.17  15.25
-23.375 41.875  5.49  6.75  6.30  -3.50 4.26  8.20  15.30
-23.125 41.875  5.49  6.75  6.30  -3.76 4.32  8.26  15.36
-22.875 41.875  5.5 6.75  6.30  -3.94 4.39  8.36  15.42
-22.625 41.875  5.5 6.75  6.30  -3.84 4.42  8.42  15.52
-22.375 41.875  5.5 6.75  6.30  -3.98 4.41  8.45  15.64
-22.125 41.875  5.5 6.75  6.30  -3.89 4.38  8.47  15.74
-21.875 41.875  5.5 6.75  6.30  -3.95 4.33  8.47  15.83
-21.625 41.875  5.5 6.75  6.30  -4.04 4.27  8.46  15.91
-21.375 41.875  5.5 6.75  6.30  -4.02 4.17  8.41  15.94
-21.125 41.875  5.5 6.75  6.30  -3.92 4.08  8.34  15.91
-20.875 41.875  5.5 6.75  6.30  -3.88 4.03  8.29  15.86
-20.625 41.875  5.5 6.75  6.30  -3.93 3.99  8.26  15.84
-20.375 41.875  5.5 6.75  6.30  -3.90 3.94  8.22  15.83
-20.125 41.875  5.5 6.75  6.30  -3.74 3.89  8.17  15.79
-19.875 41.875  5.49  6.74  6.30  -3.46 3.90  8.06  15.73
-19.625 41.875  5.49  6.74  6.29  -3.62 4.02  8.21  15.67
-19.375 41.875  5.49  6.74  6.29  -3.36 4.24  8.34  15.62
-19.125 41.875  5.49  6.74  6.29  -4.38 4.51  8.50  15.59
-18.875 41.875  5.49  6.73  6.30  -4.86 4.86  8.60  15.57
-18.625 41.875  5.49  6.73  6.30  -5.04 5.04  8.72  15.55
-18.375 41.875  5.48  6.73  6.28  -5.00 5.07  8.83  15.52
-18.125 41.875  5.48  6.73  6.28  -5.05 5.14  8.86  15.46
-17.875 41.875  5.49  6.73  6.28  -4.95 5.21  8.88  15.31
-17.625 41.875  5.49  6.73  6.28  -5.22 5.28  8.85  15.11
-17.375 41.875  5.49  6.73  6.28  -5.28 5.33  8.80  14.88
-17.125 41.875  5.49  6.73  6.28  -5.18 5.35  8.71  14.62
-16.875 41.875  5.49  6.74  6.29  -4.92 5.36  8.59  14.33
-16.625 41.875  5.49  6.75  6.29  -5.34 5.37  8.54  14.04
-16.375 41.875  5.49  6.76  6.30  -5.37 5.38  8.42  13.77
-16.125 41.875  5.49  6.78  6.31  -5.34 5.41  8.37  13.54
-15.875 41.875  5.49  6.79  6.32  -5.35 5.44  8.33  13.43
-15.625 41.875  5.49  6.81  6.33  -5.15 5.48  8.35  13.37
-15.375 41.875  5.49  6.83  6.35  -5.36 5.55  8.34  13.34
-15.125 41.875  5.49  6.85  6.36  -5.27 5.65  8.41  13.32
-14.875 41.875  5.5 6.88  6.39  -5.33 5.77  8.46  13.34
-14.625 41.875  5.51  6.92  6.43  -5.32 5.89  8.49  13.36
-14.375 41.875  5.53  6.99  6.50  -5.33 5.98  8.48  13.42
-14.125 41.875  5.56  7.05  6.58  -5.33 6.06  8.40  13.49
-13.875 41.875  5.61  7.09  6.65  -5.33 6.13  8.33  13.54
-13.625 41.875  5.72  7.11  6.70  -5.32 6.18  8.36  13.57
-13.375 41.875  5.97  7.14  6.80  -5.33 6.23  8.35  13.53
-13.125 41.875  6.02  7.19  6.81  -5.34 6.24  8.58  13.45
-12.875 41.875  5.9 7.16  6.72  -5.34 6.20  8.71  13.40
-12.625 41.875  5.87  6.86  6.52  -5.28 6.04  8.57  13.41
-12.375 41.875  5.66  6.49  6.14  -5.06 5.73  8.99  13.45
-12.125 41.875  5.57  6.49  6.06  -4.56 5.24  9.09  13.48
-11.875 41.875  5.57  6.57  6.14  -4.18 4.67  8.54  13.66
-11.625 41.875  5.59  6.67  6.24  -3.28 4.20  8.13  14.06
-11.375 41.875  5.62  6.78  6.33  -2.64 3.97  8.24  14.97
-11.125 41.875  5.64  6.86  6.39  -2.49 4.03  8.69  16.12
-10.875 41.875  5.65  6.9 6.41  -2.80 4.29  9.45  17.46
-10.625 41.875  5.68  6.9 6.41  -2.85 4.58  10.33 18.90
-10.375 41.875  5.72  6.88  6.39  -2.94 4.76  11.36 20.39
-10.125 41.875  5.77  6.87  6.37  -2.86 4.71  12.52 21.90
-9.875  41.875  5.82  6.86  6.35  -2.46 4.37  13.72 23.43
-9.625  41.875  5.87  6.85  6.33  -2.20 3.59  15.00 25.09
-9.375  41.875  5.92  6.86  6.30  -0.97 2.66  17.16 27.00
-9.125  41.875  5.97  6.85  6.27  -0.08 1.76  19.61 28.85
-8.875  41.875  6.01  6.7 6.26  0.03  1.07  19.37 29.76
-8.625  41.875  6.01  6.78  6.25  0.31  1.00  20.61 29.49
-8.375  41.875  6.05  6.78  6.27  0.44  0.98  21.42 30.24
-8.125  41.875  6.1 6.8 6.29  0.83  1.00  22.42 30.40
-7.875  41.875  6.08  6.8 6.28  1.01  1.08  22.02 30.07
-7.625  41.875  6.05  6.82  6.24  0.76  1.27  22.45 29.39
-7.375  41.875  6.02  6.84  6.18  0.64  1.53  22.96 28.16
-7.125  41.875  6 6.86  6.11  0.71  1.67  24.35 27.68
-6.875  41.875  6.01  6.85  6.14  0.85  1.79  25.73 30.11
-6.625  41.875  6.04  6.82  6.20  0.74  1.60  26.79 33.29
-6.375  41.875  6.04  6.8 6.22  0.85  1.33  26.99 34.95
-6.125  41.875  6.02  6.79  6.20  0.84  1.45  27.12 34.95
-5.875  41.875  6 6.78  6.19  0.72  1.23  25.96 33.92
-5.625  41.875  6 6.75  6.19  0.69  0.94  24.76 32.84
-5.375  41.875  6.02  6.77  6.20  0.71  2.44  25.10 32.25
-5.125  41.875  6.04  6.79  6.22  0.76  4.65  25.38 31.92
-4.875  41.875  6.06  6.82  6.25  0.82  4.81  25.08 31.84
-4.625  41.875  6.08  6.84  6.27  0.79  4.63  25.08 31.89
-4.375  41.875  6.09  6.84  6.29  0.82  4.67  24.64 31.90
-4.125  41.875  6.1 6.79  6.29  0.89  4.89  24.85 32.44
-3.875  41.875  6.11  6.75  6.29  0.89  5.13  25.36 33.28
-3.625  41.875  6.12  6.73  6.28  0.95  5.35  26.26 33.69
-3.375  41.875  6.11  6.7 6.27  1.03  5.53  27.23 35.31
-3.125  41.875  6.11  6.69  6.28  1.12  5.63  28.03 37.32
-2.875  41.875  6.13  6.71  6.30  1.19  5.63  28.27 37.66
-2.625  41.875  6.16  6.78  6.34  1.16  5.61  27.32 36.20
-2.375  41.875  6.19  6.84  6.38  1.14  5.60  25.78 34.11
-2.125  41.875  6.2 6.87  6.40  1.07  5.61  24.14 32.02
-1.875  41.875  6.21  6.89  6.42  0.97  5.65  22.85 30.54
-1.625  41.875  6.21  6.91  6.43  0.53  5.68  22.93 30.83
-1.375  41.875  6.2 6.91  6.42  0.29  5.67  24.28 32.63
-1.125  41.875  6.2 6.88  6.41  0.36  5.61  25.56 34.47
-0.875  41.875  6.18  6.84  6.40  0.36  5.56  25.77 35.88
-0.625  41.875  6.17  6.78  6.38  0.44  5.52  26.05 36.83
-0.375  41.875  6.15  6.72  6.37  0.34  5.58  25.11 37.39
-0.125  41.875  6.13  6.65  6.36  0.32  5.70  23.49 37.60
0.125 41.875  6.1 6.58  6.35  0.27  5.80  20.97 37.45
0.375 41.875  6.07  6.5 6.35  0.34  5.72  16.71 37.22
0.625 41.875  6.07  6.44  6.36  0.45  5.61  12.35 36.79
0.875 41.875  6.11  6.46  6.38  0.41  5.65  12.53 35.76
1.125 41.875  6.14  6.5 6.39  0.43  5.61  14.22 33.79
1.375 41.875  6.16  6.53  6.38  0.61  5.26  15.64 30.87
1.625 41.875  6.17  6.56  6.37  0.58  4.38  17.80 31.93
1.875 41.875  6.17  6.57  6.35  0.43  3.13  19.43 32.76
2.125 41.875  6.17  6.56  6.33  0.67  2.10  20.24 32.86
2.375 41.875  6.16  6.53  6.30  0.78  1.55  19.97 31.18
2.625 41.875  6.14  6.48  6.27  0.28  1.31  18.70 29.47
2.875 41.875  6.12  6.41  6.24  0.17  1.16  16.58 27.46
3.125 41.875  6.1 6.35  6.21  0.01  1.22  14.50 24.94
3.375 41.875  6.08  6.31  6.19  -0.44 1.82  12.29 21.89
3.625 41.875  6.07  6.27  6.18  -1.17 3.00  9.98  18.52
3.875 41.875  6.06  6.26  6.16  -2.13 4.32  9.93  15.54
4.125 41.875  6.05  6.25  6.15  -2.40 5.62  9.21  12.81
4.375 41.875  6.05  6.25  6.15  -2.48 6.80  9.13  11.46
4.625 41.875  6.04  6.24  6.14  -2.48 7.50  9.67  11.84
4.875 41.875  6.04  6.23  6.14  -2.43 7.88  10.02 12.39
5.125 41.875  6.04  6.22  6.13  -2.31 8.09  10.48 12.87
5.375 41.875  6.04  6.22  6.13  -2.36 8.11  10.66 13.20
5.625 41.875  6.03  6.21  6.13  -2.43 8.10  10.42 13.33
5.875 41.875  6.03  6.2 6.12  -2.51 8.17  10.56 13.25
6.125 41.875  6.03  6.19  6.12  -2.57 8.36  10.46 13.15
6.375 41.875  6.03  6.17  6.11  -2.63 8.52  10.44 13.01
6.625 41.875  6.03  6.16  6.11  -2.70 8.63  10.17 12.63
6.875 41.875  6.03  6.15  6.10  -2.72 8.70  10.10 12.05
7.125 41.875  6.03  6.14  6.10  -2.75 8.65  9.81  11.83
7.375 41.875  6.03  6.15  6.10  -2.78 8.48  9.85  11.76
7.625 41.875  6.03  6.16  6.11  -2.80 8.20  9.73  12.18
7.875 41.875  6.04  6.2 6.13  -2.81 7.78  10.52 14.04
8.125 41.875  6.05  6.26  6.16  -2.64 7.04  12.27 18.02
8.375 41.875  6.07  6.36  6.21  -1.68 5.76  14.49 22.64
8.625 41.875  6.09  6.46  6.27  -0.49 2.50  15.80 28.40
8.875 41.875  6.13  6.57  6.33  0.40  1.00  18.93 33.87
9.125 41.875  6.18  6.64  6.38  1.02  1.00  20.29 35.12
9.375 41.875  6.22  6.66  6.38  0.12  1.00  20.51 31.66
9.625 41.875  6.24  6.62  6.35  -0.55 2.50  19.01 25.73
9.875 41.875  6.22  6.53  6.30  -0.87 3.00  14.34 18.29
10.125  41.875  6.2 6.49  6.28  -0.80 3.00  11.39 14.58
10.375  41.875  6.23  6.53  6.30  -1.05 3.02  12.63 15.55
10.625  41.875  6.22  6.51  6.29  -1.31 3.66  13.51 16.64
10.875  41.875  6.24  6.54  6.31  -1.39 4.02  13.66 16.59
11.125  41.875  6.25  6.56  6.31  -0.99 3.84  15.59 18.41
11.375  41.875  6.25  6.57  6.31  -0.81 3.71  16.86 19.90
11.625  41.875  6.25  6.59  6.31  -0.56 3.18  17.94 21.10
11.875  41.875  6.2 6.53  6.28  -0.34 2.36  17.38 22.19
12.125  41.875  6.12  6.43  6.25  -0.06 1.36  14.16 23.40
12.375  41.875  6.09  6.39  6.26  0.04  0.59  10.27 22.94
12.625  41.875  6.12  6.42  6.31  0.17  0.05  8.34  22.66
12.875  41.875  6.17  6.46  6.36  0.41  -0.33 7.53  22.45
13.125  41.875  6.19  6.48  6.40  0.73  -0.67 5.68  22.34
13.375  41.875  6.2 6.52  6.41  1.09  -0.93 6.93  21.95
13.625  41.875  6.17  6.6 6.40  1.16  -0.64 12.77 28.20
13.875  41.875  6.07  6.7 6.36  1.51  0.01  19.35 35.84
14.125  41.875  6.01  6.76  6.33  1.18  0.73  20.92 35.95
14.375  41.875  6.03  6.76  6.34  0.82  1.50  20.25 34.09
14.625  41.875  6.08  6.77  6.36  0.45  2.22  20.22 32.51
14.875  41.875  6.14  6.78  6.38  0.24  2.85  20.52 31.12
15.125  41.875  6.2 6.78  6.40  0.08  3.35  21.26 30.68
15.375  41.875  6.23  6.74  6.41  0.05  3.69  21.29 30.89
15.625  41.875  6.2 6.63  6.40  0.29  4.05  18.43 30.93
15.875  41.875  6.07  6.45  6.36  0.35  4.02  10.44 31.13
16.125  41.875  6.58  6.32  6.49  0.14  3.99  21.85 31.30
16.375  41.875  6.27  6.61  6.41  -0.09 3.93  20.51 32.11
16.625  41.875  6.09  6.82  6.36  -0.15 3.90  21.55 31.91
16.875  41.875  6.03  6.94  6.35  -0.32 3.89  21.43 30.95
17.125  41.875  6.01  7 6.34  -0.77 3.89  21.62 30.48
17.375  41.875  6 7.03  6.34  -0.99 3.90  21.77 30.57
17.625  41.875  5.99  7.04  6.34  -1.13 3.92  21.92 30.92
17.875  41.875  5.99  7.04  6.34  -1.18 3.93  22.56 31.87
18.125  41.875  5.99  7.04  6.34  -1.17 3.95  23.59 33.41
18.375  41.875  5.99  7.03  6.34  -0.78 3.97  24.23 34.51
18.625  41.875  5.99  7.03  6.34  -0.21 3.98  24.87 35.46
18.875  41.875  6 7.02  6.34  -0.12 3.99  25.89 36.84
19.125  41.875  6 7.01  6.34  -0.06 4.00  26.44 37.83
19.375  41.875  6 7 6.34  0.00  4.00  24.75 35.44
19.625  41.875  6 7 6.34  0.16  4.00  24.90 35.67
19.875  41.875  6 7 6.34  0.42  4.00  24.78 35.48
20.125  41.875  6 7 6.34  1.12  4.00  24.53 35.11
20.375  41.875  6.02  6.97  6.34  1.18  3.73  24.36 34.84
20.625  41.875  6.04  6.9 6.33  1.85  3.27  25.46 36.75
20.875  41.875  6.07  6.79  6.32  1.01  2.55  26.36 39.02
21.125  41.875  6.11  6.73  6.31  0.98  1.71  27.89 40.35
21.375  41.875  6.13  6.78  6.34  1.00  0.90  26.66 38.96
21.625  41.875  6.17  6.81  6.37  0.46  0.21  25.92 37.60
21.875  41.875  6.22  6.83  6.40  0.40  -0.16 25.59 36.37
22.125  41.875  6.27  6.85  6.42  0.41  -0.27 26.38 35.68
22.375  41.875  6.3 6.85  6.44  0.68  -0.44 26.72 36.00
22.625  41.875  6.3 6.86  6.45  0.95  -0.69 26.90 37.00
22.875  41.875  6.3 6.86  6.45  0.98  -0.67 26.91 37.00
23.125  41.875  6.29  6.86  6.45  0.74  -0.36 28.23 39.39
23.375  41.875  6.3 6.86  6.46  1.46  -1.10 30.14 42.64
23.625  41.875  6.31  6.86  6.47  1.13  -0.86 31.08 44.18
23.875  41.875  6.32  6.86  6.48  1.53  -1.39 30.64 44.13
24.125  41.875  6.32  6.86  6.48  1.57  -1.56 30.46 43.94
24.375  41.875  6.3 6.85  6.47  1.23  -1.23 30.04 44.03
24.625  41.875  6.27  6.83  6.45  1.30  -1.30 29.06 43.44
24.875  41.875  6.22  6.8 6.42  0.98  -0.93 26.89 41.53
25.125  41.875  6.17  6.76  6.39  0.62  -0.50 24.53 39.42
25.375  41.875  6.13  6.73  6.36  0.37  -0.21 22.00 35.81
25.625  41.875  6.08  6.7 6.34  0.22  -0.04 19.99 34.46
25.875  41.875  6.05  6.67  6.31  0.18  0.08  19.65 33.79
26.125  41.875  6.02  6.65  6.29  0.15  0.21  19.18 33.41
26.375  41.875  6 6.62  6.28  0.22  0.22  18.17 32.96
26.625  41.875  5.99  6.6 6.27  0.19  0.28  17.93 32.90
26.875  41.875  5.99  6.59  6.28  0.26  0.28  17.10 32.84
27.125  41.875  6.03  6.59  6.30  0.34  0.57  17.15 32.59
27.375  41.875  6.11  6.62  6.35  0.45  1.31  17.36 31.63
27.625  41.875  6.22  6.66  6.43  0.47  2.37  17.44 31.19
27.875  41.875  6.34  6.72  6.52  0.15  4.14  17.90 30.28
28.125  41.875  6.47  6.78  6.62  -0.08 5.90  18.27 29.87
28.375  41.875  6.6 6.85  6.72  -0.19 7.29  18.49 28.83
28.625  41.875  6.7 6.9 6.81  -0.26 8.19  17.57 28.00
28.875  41.875  6.7 6.9 6.79  -0.73 9.15  19.21 28.16
29.125  41.875  6.7 6.9 6.81  -1.36 10.50 18.47 27.58
29.375  41.875  6.7 6.9 6.80  -1.82 10.50 18.78 27.05
29.625  41.875  6.7 6.9 6.81  -1.98 11.00 18.19 26.58
29.875  41.875  6.7 6.9 6.81  -2.01 11.00 18.03 26.23
30.125  41.875  6.7 6.9 6.83  -1.98 10.50 16.13 25.99
30.375  41.875  6.7 6.9 6.81  -1.97 10.00 17.20 25.83
30.625  41.875  6.7 6.9 6.83  -1.97 10.00 15.75 25.80
30.875  41.875  6.7 6.9 6.81  -1.87 9.80  17.11 25.89
31.125  41.875  6.7 6.9 6.81  -1.90 9.59  17.10 26.11
31.375  41.875  6.7 6.9 6.81  -1.99 9.02  17.06 26.44
31.625  41.875  6.7 6.9 6.81  -1.96 8.78  16.71 26.90
31.875  41.875  6.7 6.9 6.80  -1.78 8.47  17.96 27.45
32.125  41.875  6.7 6.9 6.80  -1.33 7.68  17.89 28.09
32.375  41.875  6.6 6.85  6.72  -0.60 5.19  17.45 28.76
32.625  41.875  6.51  6.8 6.65  -0.13 3.36  16.83 29.41
32.875  41.875  6.47  6.78  6.62  0.22  2.25  16.58 30.01
33.125  41.875  6.44  6.77  6.60  0.57  0.22  15.81 30.49
33.375  41.875  6.38  6.74  6.55  0.91  -0.25 16.16 30.85
33.625  41.875  6.33  6.72  6.51  0.91  -0.26 16.61 31.07
33.875  41.875  6.34  6.72  6.52  1.00  -0.38 16.19 31.11
34.125  41.875  6.36  6.73  6.53  0.92  -0.34 16.54 30.88
34.375  41.875  6.38  6.74  6.55  0.66  -0.12 16.00 30.42
34.625  41.875  6.41  6.75  6.57  0.52  0.05  15.77 29.74
34.875  41.875  6.43  6.77  6.59  0.48  1.04  15.80 28.92
35.125  41.875  6.46  6.78  6.61  0.12  1.91  15.81 28.07
35.375  41.875  6.46  6.78  6.62  -0.29 3.04  15.16 27.28
-24.875 42.125  5.49  6.75  6.30  -3.34 4.08  8.06  15.21
-24.625 42.125  5.49  6.75  6.30  -3.57 4.15  8.10  15.21
-24.375 42.125  5.48  6.75  6.30  -3.91 4.23  8.12  15.21
-24.125 42.125  5.49  6.75  6.30  -3.61 4.26  8.17  15.20
-23.875 42.125  5.49  6.75  6.30  -3.63 4.25  8.16  15.20
-23.625 42.125  5.49  6.75  6.30  -3.57 4.23  8.15  15.20
-23.375 42.125  5.49  6.75  6.30  -3.38 4.23  8.16  15.23
-23.125 42.125  5.49  6.75  6.30  -3.62 4.27  8.20  15.26
-22.875 42.125  5.5 6.75  6.30  -3.71 4.31  8.26  15.28
-22.625 42.125  5.5 6.75  6.30  -3.78 4.33  8.29  15.34
-22.375 42.125  5.5 6.75  6.30  -3.80 4.33  8.33  15.44
-22.125 42.125  5.5 6.75  6.30  -3.85 4.31  8.36  15.56
-21.875 42.125  5.5 6.75  6.30  -3.91 4.28  8.39  15.69
-21.625 42.125  5.5 6.75  6.30  -4.00 4.23  8.41  15.84
-21.375 42.125  5.5 6.75  6.30  -4.09 4.17  8.42  15.98
-21.125 42.125  5.5 6.75  6.30  -3.78 4.11  8.41  16.05
-20.875 42.125  5.5 6.75  6.30  -3.79 4.09  8.40  16.07
-20.625 42.125  5.5 6.75  6.30  -3.94 4.09  8.41  16.09
-20.375 42.125  5.5 6.75  6.30  -4.07 4.07  8.40  16.09
-20.125 42.125  5.49  6.75  6.30  -3.99 4.03  8.33  16.07
-19.875 42.125  5.49  6.74  6.29  -3.68 4.01  8.34  16.03
-19.625 42.125  5.49  6.74  6.29  -3.97 4.05  8.34  15.98
-19.375 42.125  5.49  6.74  6.29  -4.00 4.17  8.40  15.93
-19.125 42.125  5.49  6.74  6.29  -4.32 4.36  8.51  15.89
-18.875 42.125  5.49  6.73  6.30  -4.67 4.67  8.57  15.83
-18.625 42.125  5.49  6.73  6.29  -4.78 4.78  8.65  15.75
-18.375 42.125  5.49  6.73  6.28  -4.75 4.88  8.79  15.66
-18.125 42.125  5.48  6.73  6.28  -4.81 4.98  8.78  15.54
-17.875 42.125  5.49  6.73  6.28  -4.89 5.07  8.81  15.37
-17.625 42.125  5.48  6.73  6.28  -5.07 5.15  8.75  15.16
-17.375 42.125  5.49  6.73  6.28  -5.11 5.22  8.74  14.92
-17.125 42.125  5.49  6.73  6.29  -5.35 5.35  8.67  14.64
-16.875 42.125  5.49  6.74  6.29  -5.22 5.28  8.55  14.35
-16.625 42.125  5.49  6.74  6.29  -5.09 5.29  8.45  14.07
-16.375 42.125  5.49  6.75  6.30  -5.20 5.30  8.33  13.79
-16.125 42.125  5.49  6.76  6.30  -5.36 5.36  8.32  13.56
-15.875 42.125  5.49  6.77  6.31  -5.16 5.40  8.29  13.45
-15.625 42.125  5.49  6.78  6.32  -5.27 5.47  8.30  13.42
-15.375 42.125  5.49  6.79  6.32  -5.20 5.56  8.39  13.38
-15.125 42.125  5.5 6.8 6.33  -5.18 5.68  8.45  13.35
-14.875 42.125  5.49  6.8 6.33  -5.30 5.81  8.52  13.37
-14.625 42.125  5.5 6.81  6.35  -5.32 5.94  8.56  13.40
-14.375 42.125  5.54  6.89  6.43  -5.33 6.05  8.58  13.47
-14.125 42.125  5.58  6.96  6.52  -5.33 6.13  8.49  13.54
